source_text,original_description,cleaned_description,prefill_merchant_in_csv,local_provider,local_direction,local_counterparty,local_pick_merchant,local_is_unknown,server_provider,server_direction,server_counterparty,server_prefill_merchant,server_ai_merchant,server_final_decision,final_decision,decision_source
ZELLE TO JORGE BONINI ORLANDO ON 08/09,,,Zelle,zelle,to,JORGE BONINI ORLANDO ON 08,Zelle To JORGE BONINI ORLANDO ON 08,0,,,,,,,Zelle To JORGE BONINI ORLANDO ON 08,local
PUBLIX #1209 MIAMI BEACH,,,Publix,unknown,,,Publix Miami Beach,0,,,,,,,Publix Miami Beach,local
TST*STILTSVILLE FISH B Miami Beach,,,TST,unknown,,,Tst Stiltsville Fish B,0,,,,,,,Tst Stiltsville Fish B,local
EXPERIAN* CREDIT REPO COSTA MESA,,,Experian,unknown,,,Experian Repo Costa Mesa,0,,,,,,,Experian Repo Costa Mesa,local
SQ *440 CORPORATION Miami Beach,,,SQ,unknown,,,Sq Corporation Miami Beach,0,,,,,,,Sq Corporation Miami Beach,local
Whole Foods SBE 10285 866-216-1072,,,Whole Foods,unknown,,,Whole Foods Sbe,0,,,,,,,Whole Foods Sbe,local
Whole Foods SBE 10285 866-216-1072,,,Whole Foods,unknown,,,Whole Foods Sbe,0,,,,,,,Whole Foods Sbe,local
AT&T UVERSE PAYMENT,,,AT&T,unknown,,,At&T Uverse Payment,0,,,,,,,At&T Uverse Payment,local
AMAZON MKTPL*W25562GH3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
CASH REWARDS STATEMENT CREDIT,,,Transfers,unknown,,,Cash Rewards,0,,,,,,,Cash Rewards,local
BEST BUY 00014985 MIAMI BEACH,,,Best Buy,unknown,,,Best Buy Miami Beach,0,,,,,,,Best Buy Miami Beach,local
"ISTOURS, INC. FOLSOM",,,ISTOURS,unknown,,,"Istours, Inc. Folsom",0,,,,,,,"Istours, Inc. Folsom",local
J & C LIQUOR INCORPORA MIAMI BEACH,,,J & C Liquor,unknown,,,J C Liquor Incorpora,0,,,,,,,J C Liquor Incorpora,local
MPA PARKING PAY BY PHO MIAMI,,,MPA Parking,unknown,,,Mpa Parking Pay By,0,,,,,,,Mpa Parking Pay By,local
SQ *LUXE PARKING MIAMI,,,SQ,unknown,,,Sq Luxe Parking Miami,0,,,,,,,Sq Luxe Parking Miami,local
TOTAL WINE AND MORE MIAMI BEACH,,,Total Wine,unknown,,,Total Wine And More,0,,,,,,,Total Wine And More,local
TST*OMAKAI SUSHI - COC Miami,,,TST,unknown,,,Tst Omakai Sushi Coc,0,,,,,,,Tst Omakai Sushi Coc,local
ZELLE TO QUERO CESAR ON 08/08,,,Zelle,zelle,to,QUERO CESAR ON 08,Zelle To QUERO CESAR ON 08,0,,,,,,,Zelle To QUERO CESAR ON 08,local
AMAZON MKTPL*B12ZM4DG3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
VENMO PAYMENT 250808 MICHEL FALENI,,,Venmo,unknown,,,Venmo Payment Michel Faleni,0,,,,,,,Venmo Payment Michel Faleni,local
ZELLE FROM LENIN CARDENAS ON 08/08 REF # BACKKPJ3XW1V,,,Zelle,zelle,from,LENIN CARDENAS ON 08,Zelle From LENIN CARDENAS ON 08,0,,,,,,,Zelle From LENIN CARDENAS ON 08,local
HAAGEN DAZS ICE CREAM MIAMI BEACH,,,Haagen Dazs,unknown,,,Haagen Dazs Ice Cream,0,,,,,,,Haagen Dazs Ice Cream,local
SOUTH BEACH ACE HARDWA MIAMI BEACH,,,South Beach Ace Hardware,unknown,,,South Beach Ace Hardwa,0,,,,,,,South Beach Ace Hardwa,local
PUBLIX SUPER MAR 10755 NW DORAL FL P385219794113575,,,Publix,unknown,,,Publix Super Mar Nw,0,,,,,,,Publix Super Mar Nw,local
PUBLIX SUPER MAR 10755 NW DORAL FL P465219792990757,,,Publix,unknown,,,Publix Super Mar Nw,0,,,,,,,Publix Super Mar Nw,local
PUBLIX SUPER MAR 10755 NW DORAL FL P585219790352898,,,Publix,unknown,,,Publix Super Mar Nw,0,,,,,,,Publix Super Mar Nw,local
AMAZON MKTPL*2X7E86C03 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*DO99X6613 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*SP1MP30Q3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
B-21 LIQUORS TARPON SPRING,,,B-21 Liquors,unknown,,,B- Liquors Tarpon Spring,0,,,,,,,B- Liquors Tarpon Spring,local
BEST BUY 00005553 HIALEAH,,,Best Buy,unknown,,,Best Buy Hialeah,0,,,,,,,Best Buy Hialeah,local
CELEBRITY CRUISES MIAMI,,,Celebrity Cruises,unknown,,,Celebrity Cruises Miami,0,,,,,,,Celebrity Cruises Miami,local
INTEREST CHARGED ON PURCHASES,,,Transfers,unknown,,,Charged On Purchases,0,,,,,,,Charged On Purchases,local
SP CHRISTOPHER COLUM MIAMI,,,Columbus,unknown,,,Sp Christopher Colum Miami,0,,,,,,,Sp Christopher Colum Miami,local
Guarantee Manage RESIDENT,,,Gurantee Management,unknown,,,Guarantee Manage Resident,0,,,,,,,Guarantee Manage Resident,local
JPMorgan Chase Ext Trnsfr 250805 MICHEL FALENI FERNANDE,,,Car Andre,unknown,,,Jpmorgan Chase Ext Trnsfr,0,,,,,,,Jpmorgan Chase Ext Trnsfr,local
ONLINE TRANSFER TO BROUGH A EVERYDAY CHECKING GASOLINA,,,Transfers,unknown,,,To Brough A Everyday,0,,,,,,,To Brough A Everyday,local
ONLINE TRANSFER TO BROUGH A EVERYDAY CHECKING PELUQUERIA Y MANI PEDI,,,Peluqueria y Mani Pedi,unknown,,,To Brough A Everyday,0,,,,,,,To Brough A Everyday,local
ONLINE TRANSFER TO FERNANDEZ M EVERYDAY CHECKING GASTOS EXTRAS MINA,,,Transfers,unknown,,,To Fernandez M Everyday,0,,,,,,,To Fernandez M Everyday,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS CAR INSURANCE REPAYMENT TO SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
ONLINE TRANSFER TO BUSINESSLINE LINE OF CREDIT,,,Transfers,unknown,,,To Businessline Line Of,0,,,,,,,To Businessline Line Of,local
HOMEGOODS #1152 MIAMI,,,HomeGoods,unknown,,,Homegoods Miami,0,,,,,,,Homegoods Miami,local
PUBLIX #655 DORAL,,,Publix,unknown,,,Publix Doral,0,,,,,,,Publix Doral,local
PUBLIX #655 DORAL,,,Publix,unknown,,,Publix Doral,0,,,,,,,Publix Doral,local
SQ *MEDICAL ASSOCIATES DORAL,,,Medical Associates Doral,unknown,,,Sq Medical Associates Doral,0,,,,,,,Sq Medical Associates Doral,local
THE HOME DEPOT #3331 MIAMI,,,The Home Depot,unknown,,,The Home Depot Miami,0,,,,,,,The Home Depot Miami,local
PENNYMAC CASH Aug 25-0059 Michel Faleni,,,Balmoral Estates,unknown,,,Pennymac Cash Aug Michel,0,,,,,,,Pennymac Cash Aug Michel,local
AMAZON MKTPL*VQ1HG7E63 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
BA ELECTRONIC PAYMENT,,,Financial Transactions,unknown,,,Ba Electronic Payment,0,,,,,,,Ba Electronic Payment,local
"BK OF AMER MC ONLINE PMT 250804 CKF828154125POS FALENI FERNANDEZ,MICHE",,,Bank of America,unknown,,,Bk Of Amer Mc,0,,,,,,,Bk Of Amer Mc,local
VENMO PAYMENT 250803 MICHEL FALENI,,,Tips,unknown,,,Venmo Payment Michel Faleni,0,,,,,,,Venmo Payment Michel Faleni,local
ZELLE FROM JORGE BONINI ON 08/04 REF # BACANTCOZWCN,,,Jorge Bonini,zelle,from,JORGE BONINI ON 08,Zelle From JORGE BONINI ON 08,0,,,,,,,Zelle From JORGE BONINI ON 08,local
ZELLE FROM JORGE PEREZ ON 08/04 REF # JBJ0COORKB24,,,Jorge Perez,zelle,from,JORGE PEREZ ON 08,Zelle From JORGE PEREZ ON 08,0,,,,,,,Zelle From JORGE PEREZ ON 08,local
ZELLE TO HACIENDA DANI ON 08/02,,,Hacienda Dani,zelle,to,HACIENDA DANI ON 08,Zelle To HACIENDA DANI ON 08,0,,,,,,,Zelle To HACIENDA DANI ON 08,local
THE MIAMI BEACH EDITIO MIAMI BEACH,,,The Miami Beach Editio,unknown,,,The Miami Beach Editio,0,,,,,,,The Miami Beach Editio,local
TST* LA VICTORIA MIAMI,,,LA VICTORIA,unknown,,,Tst La Victoria Miami,0,,,,,,,Tst La Victoria Miami,local
TST*HACIENDA RAMIREZ C Miami,,,Hacienda Ramirez,unknown,,,Tst Hacienda Ramirez C,0,,,,,,,Tst Hacienda Ramirez C,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
SQ *WATER Miami,,,WATER,unknown,,,Sq Water Miami,0,,,,,,,Sq Water Miami,local
THEMIAMI BEACH EDITION MIAMI BEACH,,,The Miami Beach Edition,unknown,,,Themiami Beach Edition Miami,0,,,,,,,Themiami Beach Edition Miami,local
TST*CASADONNA Miami,,,CASADONNA,unknown,,,Tst Casadonna Miami,0,,,,,,,Tst Casadonna Miami,local
Whole Foods SBE 10285 866-216-1072,,,Whole Foods,unknown,,,Whole Foods Sbe,0,,,,,,,Whole Foods Sbe,local
NIKKI BEACH         MIAMI BEACH,,,Nikki Beach,unknown,,,Nikki Beach Miami Beach,0,,,,,,,Nikki Beach Miami Beach,local
TST* THE SYLVESTER 3MIAMI,,,The Sylvester,unknown,,,Tst The Sylvester,0,,,,,,,Tst The Sylvester,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
UBER,,,Uber,unknown,,,Uber,0,,,,,,,Uber,local
"ISTOURS, INC. FOLSOM",,,ISTOURS,unknown,,,"Istours, Inc. Folsom",0,,,,,,,"Istours, Inc. Folsom",local
TST*KLAW Miami,,,KLAW,unknown,,,Tst Klaw Miami,0,,,,,,,Tst Klaw Miami,local
TST*KLAW Miami,,,KLAW,unknown,,,Tst Klaw Miami,0,,,,,,,Tst Klaw Miami,local
MDWS M-DWASDPMT 250731 MICHEL FALENI,,,Water Bill,unknown,,,Mdws M-Dwasdpmt Michel Faleni,0,,,,,,,Mdws M-Dwasdpmt Michel Faleni,local
OPS*CSC EL MIRADOR MIAMI BEACH FL S305212799201644,,,El Mirador,unknown,,,Ops Csc El Mirador,0,,,,,,,Ops Csc El Mirador,local
RECURRING TRANSFER FROM FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring From Faleni M,0,,,,,,,Recurring From Faleni M,local
NETFLIX.COM         866-579-7172,,,Netflix,unknown,,,Netflix.Com,0,,,,,,,Netflix.Com,local
APPLECARD GSBANK PAYMENT 073125 1881361 Michel Faleni,,,AppleCard,unknown,,,Applecard Gsbank Payment Michel,0,,,,,,,Applecard Gsbank Payment Michel,local
RECURRING TRANSFER TO FALENI M CHECKING SUELDO MICH,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
RECURRING TRANSFER TO FALENI M PLATINUM SAVINGS,,,Transfers,unknown,,,Recurring To Faleni M,0,,,,,,,Recurring To Faleni M,local
SOUTH BEACH ACE HARDWA MIAMI BEACH,,,South Beach Ace Hardware,unknown,,,South Beach Ace Hardwa,0,,,,,,,South Beach Ace Hardwa,local
TRADER JOE S #779 MIAMI BEACH,,,Trader Joe's,unknown,,,Trader Joe S Miami,0,,,,,,,Trader Joe S Miami,local
Whole Foods SBE 10285 866-216-1072,,,Whole Foods,unknown,,,Whole Foods Sbe,0,,,,,,,Whole Foods Sbe,local
INTEREST PAYMENT,,,Financial Transactions,unknown,,,Payment,0,,,,,,,Payment,local
"BUS TELE SVCS PAYROLL 250731A2Q FALENI,MICHEL",,,BTS,unknown,,,Bus Tele Svcs Payroll,0,,,,,,,Bus Tele Svcs Payroll,local
"BUS TELE SVCS PAYROLL 250731A2Q FALENI,MICHEL",,,BTS,unknown,,,Bus Tele Svcs Payroll,0,,,,,,,Bus Tele Svcs Payroll,local
Healthy Paws Pet ACCTVERIFY 250731,,,Healthy Paws,unknown,,,Healthy Paws Pet Acctverify,0,,,,,,,Healthy Paws Pet Acctverify,local
INTEREST PAYMENT,,,Financial Transactions,unknown,,,Payment,0,,,,,,,Payment,local
ONLINE TRANSFER TO PERSONAL LINE OF CREDIT,,,Transfers,unknown,,,To Personal Line Of,0,,,,,,,To Personal Line Of,local
CLCKPAY*KW PROPERTY MA MIAMI,,,KW Property,unknown,,,Clckpay Kw Property Ma,0,,,,,,,Clckpay Kw Property Ma,local
PUBLIX #1209 MIAMI BEACH,,,Publix,unknown,,,Publix Miami Beach,0,,,,,,,Publix Miami Beach,local
OPENAI *CHATGPT SUBSSAN FRANCISCO,,,OpenAI,unknown,,,Openai Chatgpt Subssan Francisco,0,,,,,,,Openai Chatgpt Subssan Francisco,local
AMAZON MKTPL*CE34U9W83 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*F06LC0BA3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPL*LK07Z4Q23 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
ZELLE TO VALET EPIC ON 07/30,,,Zelle,zelle,to,VALET EPIC ON 07,Zelle To VALET EPIC ON 07,0,,,,,,,Zelle To VALET EPIC ON 07,local
SANTANDER BILLPAY,,,Car Mich,unknown,,,Santander Billpay,0,,,,,,,Santander Billpay,local
AMAZON MKTPL*MB7XA7K23 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
AMAZON MKTPLACE PMTS Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktplace Pmts Amzn.Com/Billwa,0,,,,,,,Amazon Mktplace Pmts Amzn.Com/Billwa,local
MOBILE DEPOSIT : REF NUMBER :506290822397,,,Financial Transactions,unknown,,,Mobile Number,0,,,,,,,Mobile Number,local
MOBILE DEPOSIT : REF NUMBER :706290823023,,,Financial Transactions,unknown,,,Mobile Number,0,,,,,,,Mobile Number,local
MOBILE DEPOSIT : REF NUMBER :806290823401,,,Financial Transactions,unknown,,,Mobile Number,0,,,,,,,Mobile Number,local
ZELLE TO SEBASTIAN CAMINERO ON 07/29,,,Sebastian Caminero,zelle,to,SEBASTIAN CAMINERO ON 07,Zelle To SEBASTIAN CAMINERO ON 07,0,,,,,,,Zelle To SEBASTIAN CAMINERO ON 07,local
"BASS PRO STORE MIAMI, MIAMI",,,Bass Pro Store,unknown,,,"Bass Pro Store Miami,",0,,,,,,,"Bass Pro Store Miami,",local
KOKAI SUSHI & LOUNGE DORAL,,,Kokai Sushi & Lounge,unknown,,,Kokai Sushi Lounge Doral,0,,,,,,,Kokai Sushi Lounge Doral,local
TAXI LICENCIA 1040 MADRID ESP,,,Taxi Espana,unknown,,,Taxi Licencia Madrid Esp,0,,,,,,,Taxi Licencia Madrid Esp,local
TAXI LICENCIA 3683 MADRID ESP,,,Taxi Espana,unknown,,,Taxi Licencia Madrid Esp,0,,,,,,,Taxi Licencia Madrid Esp,local
GOOGLE *WAKDEV       G.CO/HELPPAY#,,,Google,unknown,,,Google Wakdev G.Co/Helppay,0,,,,,,,Google Wakdev G.Co/Helppay,local
AMAZON MKTPL*N18KZ1KP1 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
EL SAZON CUBANO MIAMI BEACH,,,EL SAZON CUBANO,unknown,,,El Sazon Cubano Miami,0,,,,,,,El Sazon Cubano Miami,local
LA PARRILLA LIBERTY MIAMI BEACH,,,LA PARRILLA,unknown,,,La Parrilla Liberty Miami,0,,,,,,,La Parrilla Liberty Miami,local
MARISOL PACHA IBIZA AI IBIZA ESP,,,Marisol Pacha,unknown,,,Marisol Pacha Ibiza Ai,0,,,,,,,Marisol Pacha Ibiza Ai,local
RESTAURANTE MANAPANY EIVISSA ESP,,,RESTAURANTE MANAPANY,unknown,,,Restaurante Manapany Eivissa Esp,0,,,,,,,Restaurante Manapany Eivissa Esp,local
SOUTH BEACH ACE HARDWA MIAMI BEACH,,,ACE HARDWARE,unknown,,,South Beach Ace Hardwa,0,,,,,,,South Beach Ace Hardwa,local
SUPER TUSCAN IBIZA ESP,,,SUPER TUSCAN IBIZA,unknown,,,Super Tuscan Ibiza Esp,0,,,,,,,Super Tuscan Ibiza Esp,local
WALGREENS #10983 MIAMI BEACH,,,Walgreens,unknown,,,Walgreens Miami Beach,0,,,,,,,Walgreens Miami Beach,local
MAR Y PLAYA CHIRINGUIT FORMENTERA ESP,,,MAR Y PLAYA CHIRINGUIT,unknown,,,Mar Y Playa Chiringuit,0,,,,,,,Mar Y Playa Chiringuit,local
RTE. SA PALMERA ES PUJOLS ESP,,,Restaurant,unknown,,,Rte. Sa Palmera Es,0,,,,,,,Rte. Sa Palmera Es,local
TAXI EST 1047 EIVISSA EIVISSA ESP,,,Taxi Espana,unknown,,,Taxi Est Eivissa Eivissa,0,,,,,,,Taxi Est Eivissa Eivissa,local
AMAZON MARKETPLACE PAMZN.COM/BILL,,,Amazon,unknown,,,Amazon Marketplace Pamzn.Com/Bill,0,,,,,,,Amazon Marketplace Pamzn.Com/Bill,local
AMAZON.COM          AMZN.COM/BILL,,,Amazon,unknown,,,Amazon.Com Amzn.Com/Bill,0,,,,,,,Amazon.Com Amzn.Com/Bill,local
AMAZON MKTPL*NP23T2UJ3 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
BESO BEACH . FISICO SANT JORDI DE ESP,,,BESO BEACH,unknown,,,Beso Beach Fisico Sant,0,,,,,,,Beso Beach Fisico Sant,local
FORM - BESO SANT FRANCESC ESP,,,BESO SANT FRANCESC ESP,unknown,,,Form Beso Sant Francesc,0,,,,,,,Form Beso Sant Francesc,local
"FORM.-ILLETES 1 CALETA, LA ESP",,,Restaurant,unknown,,,"Form.-Illetes Caleta, La Esp",0,,,,,,,"Form.-Illetes Caleta, La Esp",local
HOTEL CA MARI FORMENTERA ESP,,,Hotel Ca Mari Formentera,unknown,,,Hotel Ca Mari Formentera,0,,,,,,,Hotel Ca Mari Formentera,local
PARAISO DE LOS PINOS SANT FRANCESC ESP,,,PARAISO DE LOS PINOS,unknown,,,Paraiso De Los Pinos,0,,,,,,,Paraiso De Los Pinos,local
ROSS STORES #1110 MIAMI BEACH,,,ROSS STORES,unknown,,,Ross Stores Miami Beach,0,,,,,,,Ross Stores Miami Beach,local
Refund Globalblue.com Stockholm SWE,,,Globalblue,unknown,,,Refund Globalblue.Com Stockholm Swe,0,,,,,,,Refund Globalblue.Com Stockholm Swe,local
Refund Globalblue.com Stockholm SWE,,,Globalblue,unknown,,,Refund Globalblue.Com Stockholm Swe,0,,,,,,,Refund Globalblue.Com Stockholm Swe,local
T J MAXX # 1137 MIAMI BEACH,,,T J MAXX,unknown,,,T J Maxx Miami,0,,,,,,,T J Maxx Miami,local
TAHITI BEACH ES PUJOLS-FOR ESP,,,TAHITI BEACH,unknown,,,Tahiti Beach Es Pujols-For,0,,,,,,,Tahiti Beach Es Pujols-For,local
TOTAL WINE AND MORE MIAMI BEACH,,,Total Wine and More,unknown,,,Total Wine And More,0,,,,,,,Total Wine And More,local
TST* LE ROND MIAMI BEACH,,,LE ROND,unknown,,,Tst Le Rond Miami,0,,,,,,,Tst Le Rond Miami,local
Whole Foods SBE 10285 866-216-1072,,,Whole Foods,unknown,,,Whole Foods Sbe,0,,,,,,,Whole Foods Sbe,local
aliexpress San Mateo,,,aliexpress,unknown,,,Aliexpress San Mateo,0,,,,,,,Aliexpress San Mateo,local
HEALTHY PAWS PET I WWW.HEALTHYPA GA S305204332333307,,,Healthy Paws Pet,unknown,,,Healthy Paws Pet I,0,,,,,,,Healthy Paws Pet I,local
INTERNATIONAL PURCHASE TRANSACTION FEE,,,Financial Transactions,unknown,,,International,0,,,,,,,International,local
RECURRING PAYMENT INTL AUTHORIZED ON 07/25 Amazon Prime*RS96G amazon.es/prm LUX S465206279587695,,,Amazon,unknown,,,Recurring Payment Intl Authorized,0,,,,,,,Recurring Payment Intl Authorized,local
SUNPASS*ACC613078 888-865-5352 FL S465205209817017,,,SUNPASS,unknown,,,Sunpass Fl,0,,,,,,,Sunpass Fl,local
AMAZON SHOP WITH POINTS CREDIT,,,Amazon,unknown,,,Amazon Shop With Points,0,,,,,,,Amazon Shop With Points,local
AMAZON SHOP WITH POINTS CREDIT,,,Amazon,unknown,,,Amazon Shop With Points,0,,,,,,,Amazon Shop With Points,local
AMAZON.COM          AMZN.COM/BILL,,,Amazon,unknown,,,Amazon.Com Amzn.Com/Bill,0,,,,,,,Amazon.Com Amzn.Com/Bill,local
MB-PARKING PARKMOBILMIAMI BEACH,,,MB-PARKING,unknown,,,Mb-Parking Parkmobilmiami Beach,0,,,,,,,Mb-Parking Parkmobilmiami Beach,local
BAR APTOS CASTAV S FRANCESC,,,Restaurant,unknown,,,Bar Aptos Castav S,0,,,,,,,Bar Aptos Castav S,local
BOUTIQUE SAVINA LA SAVINA ESP,,,BOUTIQUE SAVINA,unknown,,,Boutique Savina La Savina,0,,,,,,,Boutique Savina La Savina,local
C A F E T E R I A PALMA DE MALL ESP,,,Cafeteria Palma,unknown,,,C A F E,0,,,,,,,C A F E,local
CALIMA FOOD AND DRINKS IBIZA ESP,,,CALIMA FOOD AND DRINKS,unknown,,,Calima Food And Drinks,0,,,,,,,Calima Food And Drinks,local
CAN CARLITOS LA SAVINA ESP,,,CAN CARLITOS,unknown,,,Can Carlitos La Savina,0,,,,,,,Can Carlitos La Savina,local
FORMENTERA SER PALMA MALLORC ESP,,,Restaurant,unknown,,,Formentera Ser Palma Mallorc,0,,,,,,,Formentera Ser Palma Mallorc,local
OPS*CSC EL MIRADOR MIAMI BEACH,,,El Mirador,unknown,,,Ops Csc El Mirador,0,,,,,,,Ops Csc El Mirador,local
P A LLOMPART Y A PIERA PALMA DE MALL ESP,,,Restaurant,unknown,,,P A Llompart Y,0,,,,,,,P A Llompart Y,local
PALMA SUITES PZA.MERCA PALMA ESP,,,PALMA SUITES,unknown,,,Palma Suites Pza.Merca Palma,0,,,,,,,Palma Suites Pza.Merca Palma,local
REG SOUTH BEACH 0482 MIAMI BEACH,,,REG,unknown,,,Reg South Beach Miami,0,,,,,,,Reg South Beach Miami,local
REG SOUTH BEACH 0482 MIAMI BEACH,,,REG,unknown,,,Reg South Beach Miami,0,,,,,,,Reg South Beach Miami,local
SQ *440 CORPORATION Miami Beach,,,440 Corporation,unknown,,,Sq Corporation Miami Beach,0,,,,,,,Sq Corporation Miami Beach,local
T-MOBILE PCS SVC 250723 1364496 MARIA FERNANDEZ,,,T-Mobile,unknown,,,T-Mobile Pcs Svc Maria,0,,,,,,,T-Mobile Pcs Svc Maria,local
OUTDOORSY* 10513621-AUSTIN,,,OUTDOORSY,unknown,,,Outdoorsy -Austin,0,,,,,,,Outdoorsy -Austin,local
AMAZON MKTPL*GZ2MJ3E53 Amzn.com/billWA,,,Amazon,unknown,,,Amazon Mktpl Amzn.Com/Billwa,0,,,,,,,Amazon Mktpl Amzn.Com/Billwa,local
PP*GOOGLE YUANWOFEI,,,Google,unknown,,,Pp Google Yuanwofei,0,,,,,,,Pp Google Yuanwofei,local
LS NO BOUNDARIES SPORT DORAL,,,No Boundaries Sport,unknown,,,Ls No Boundaries Sport,0,,,,,,,Ls No Boundaries Sport,local
