Date,Merchant,Amount
5/26/24,Our Lady Of Guadalupe,30
5/30/24,Apple Services,14.99
5/30/24,Apple Services,23.98
6/1/24,Apple Services,23.99
6/1/24,Interest Charge,11.64
6/2/24,Ach Deposit Internet Transfer From Account Ending In 7661,-1206.25
6/2/24,Apple Services,7.99
6/2/24,Apple Services,11.3
6/2/24,Our Lady Of Guadalupe,30
6/4/24,Apple Services,9.99
6/6/24,Apple Services,24.99
6/7/24,Playstation Network,10.49
6/8/24,Spotify,19.23
6/9/24,Our Lady Of Guadalupe,30
6/14/24,Peacock Ff5dc Premium,6.78
6/16/24,Our Lady Of Guadalupe,30
6/18/24,Apple Services,14.99
6/20/24,Apple Services,14.99
6/21/24,Apple Services,14.19
6/23/24,Our Lady Of Guadalupe,30
6/24/24,vix.com,5.7
6/29/24,Apple Services,23.98
6/30/24,Our Lady Of Guadalupe,30
7/1/24,Ach Deposit Internet Transfer From Account Ending In 7661,-309.15
7/1/24,Interest Charge,0.54
7/2/24,Apple Services,2.99
7/2/24,Apple Services,11.3
7/4/24,Apple Services,9.99
7/5/24,Apple Services,31.98
7/7/24,Apple Services,15.13
7/7/24,Our Lady Of Guadalupe,30
7/8/24,Spotify,22.62
7/14/24,Our Lady Of Guadalupe,30
7/14/24,Peacock 6dd51 Premium,6.78
7/18/24,Apple Services,14.99
7/18/24,Farmacia Jesus Lahoz,393.96
7/20/24,Apple Services,14.99
7/21/24,Apple,14.19
7/21/24,Our Lady Of Guadalupe,30
7/24/24,Apple Services,14.32
7/24/24,vix.com,5.7
7/28/24,Our Lady Of Guadalupe,30
7/29/24,Apple,4.99
8/2/24,Apple Services,11.3
8/4/24,Apple,9.99
8/4/24,Our Lady Of Guadalupe,30
8/5/24,Apple Services,31.98
8/8/24,Apple Services,18.99
8/8/24,Spotify,22.62
8/11/24,Our Lady Of Guadalupe,5
8/14/24,Peacock 37e05 Premium,6.78
8/18/24,Apple,14.99
8/18/24,Our Lady Of Guadalupe,5
8/20/24,Apple,14.99
8/21/24,Apple Services,14.19
8/24/24,1password,59.85
8/24/24,vix.com,5.7
8/25/24,Our Lady Of Guadalupe,5
8/29/24,Apple Services,4.99
8/31/24,Ach Deposit Internet Transfer From Account Ending In 7661,-713.93
9/1/24,Our Lady Of Guadalupe,5
9/2/24,Apple Services,7.99
9/2/24,Apple Services,11.3
9/4/24,Apple Services,9.99
9/5/24,Apple Services,23.99
9/8/24,Apple Services,18.99
9/8/24,Our Lady Of Guadalupe,5
9/8/24,Spotify,22.62
9/13/24,Apple Store,994.03
9/14/24,Peacock 39c39 Premium,9.04
9/15/24,Our Lady Of Guadalupe,5
9/20/24,Apple Services,12.05
9/21/24,Apple,14.19
9/22/24,Apple Store Miami Fl,50.96
9/22/24,Our Lady Of Guadalupe,5
9/24/24,vix.com,5.7
9/28/24,Apple Services,19.98
9/29/24,Apple Services,18.99
9/29/24,Our Lady Of Guadalupe,5
9/30/24,Ach Deposit Internet Transfer From Account Ending In 7661,-261.37
9/30/24,Apple Services,14.99
9/30/24,Monthly Installments (1 Of 24),9.12
9/30/24,Monthly Installments (1 Of 24),24.12
10/1/24,Apple.com/us One Apple Park Way 800-676-2775 95014 Ca Usa (return),-994.03
10/2/24,Apple Services,11.3
10/4/24,Apple,9.99
10/6/24,Apple,31.98
10/6/24,Daily Cash Adjustment,0.16
10/6/24,Michaels Stores 5190 12425 Sw 88th St Miami 33186 Fl Usa (return),-16.04
10/6/24,Our Lady Of Guadalupe,5
10/6/24,Sherwin-williams70294511402 Nw 41st St Ste 120-122 Miami 33178 Fl Usa (return),-16.36
10/7/24,Daily Cash Adjustment,0.16
10/8/24,Spotify,22.62
10/9/24,Apple Services,34.28
10/9/24,Disney,22.83
10/13/24,Our Lady Of Guadalupe,5
10/13/24,Ppdc Downtown Doral,5.41
10/14/24,Peacock 5ceca Premium,9.04
10/19/24,Apple Services,12.05
10/20/24,Apple,14.99
10/20/24,Our Lady Of Guadalupe,5
10/21/24,Apple,14.19
10/24/24,Apple Services,14.99
10/24/24,vix.com,5.7
10/25/24,Apple,31.18
10/27/24,Our Lady Of Guadalupe,5
10/29/24,Apple,23.98
10/31/24,Monthly Installments (2 Of 24),9.12
10/31/24,Monthly Installments (2 Of 24),24.12
11/1/24,Ach Deposit Internet Transfer From Account Ending In 7661,-589.83
11/1/24,Interest Charge,5.12
11/2/24,Apple,11.3
11/3/24,Our Lady Of Guadalupe,5
11/4/24,Apple,9.99
11/5/24,Apple,31.98
11/8/24,Spotify,22.62
11/9/24,Disney,22.82
11/10/24,Our Lady Of Guadalupe,5
11/14/24,Peacock 3629c Premium,9.04
11/17/24,Our Lady Of Guadalupe,5
11/18/24,Apple,14.99
11/20/24,Apple,12.05
11/21/24,Apple,14.19
11/24/24,Our Lady Of Guadalupe,5
11/24/24,vix.com,5.7
11/26/24,Apple,4.99
11/26/24,Apple,38.57
11/30/24,Apple,14.99
11/30/24,Monthly Installments (3 Of 24),9.12
11/30/24,Monthly Installments (3 Of 24),24.12
12/1/24,Our Lady Of Guadalupe,5
12/2/24,Apple,11.3
12/4/24,Apple,9.99
12/6/24,Apple,31.98
12/8/24,Our Lady Of Guadalupe,5
12/8/24,Spotify,22.62
12/9/24,Apple,18.99
12/9/24,Disney,22.82
12/14/24,Peacock 7f0f0 Premium,9.04
12/15/24,Apple,119.99
12/15/24,Our Lady Of Guadalupe,5
12/17/24,Apple,15.48
12/21/24,Apple,14.19
12/22/24,Our Lady Of Guadalupe,5
12/24/24,Apple,94.98
12/24/24,vix.com,5.7
12/25/24,Playstation Network,29.99
12/26/24,recreation.gov,35
12/29/24,Apple,23.98
12/29/24,Our Lady Of Guadalupe,5
12/30/24,Apple,14.99
12/31/24,Ach Deposit Internet Transfer From Account Ending In 7661,-251.48
12/31/24,Monthly Installments (4 Of 24),9.12
12/31/24,Monthly Installments (4 Of 24),24.12
1/1/25,Haystack Dryers,8
1/2/25,Apple,11.3
1/2/25,Burgerfi,42.49
1/4/25,Apple,9.99
1/5/25,Apple,31.98
1/8/25,Spotify,22.62
1/9/25,Betterme Inc Workouts,6.93
1/9/25,Disneyplus,22.82
1/11/25,Our Lady Of Guadalupe,5
1/14/25,Peacock 2e00b Premium,9.04
1/16/25,Apple,29
1/16/25,Betterme Inc Workouts,38.95
1/17/25,Our Lady Of Guadalupe,5
1/18/25,Apple,30.47
1/20/25,Apple,14.99
1/21/25,Apple,14.19
1/24/25,Our Lady Of Guadalupe,5
1/24/25,vix.com,5.7
1/29/25,Apple,23.98
1/31/25,Monthly Installments (5 Of 24),9.12
1/31/25,Monthly Installments (5 Of 24),24.12
1/31/25,Our Lady Of Guadalupe,5
2/1/25,Ach Deposit Internet Transfer From Account Ending In 7661,-934.42
2/1/25,Apple,39.99
2/1/25,Interest Charge,9.46
2/2/25,Apple,11.3
2/4/25,Apple,9.99
2/5/25,Apple,23.99
2/7/25,Our Lady Of Guadalupe,5
2/8/25,Spotify,22.62
2/9/25,Disneyplus,22.82
2/14/25,Our Lady Of Guadalupe,5
2/14/25,Peacock,9.04
2/21/25,Apple,14.19
2/21/25,Our Lady Of Guadalupe,5
2/26/25,GoPro,49.99
2/28/25,Apple,24.5
2/28/25,Monthly Installments (6 Of 24),9.12
2/28/25,Monthly Installments (6 Of 24),24.12
2/28/25,Our Lady Of Guadalupe,5
3/2/25,Apple,11.3
3/2/25,Apple,14.99
3/2/25,Apple,18.99
3/4/25,Apple,9.99
3/6/25,Apple,43.89
3/7/25,Our Lady Of Guadalupe,5
3/8/25,Spotify,22.62
3/9/25,Apple,75.98
3/9/25,Disney,22.82
3/14/25,Our Lady Of Guadalupe,5
3/14/25,Peacock,9.04
3/16/25,Apple Services,29.98
3/17/25,Apple.com/bill One Apple Park Way 866-712-7753 95014 Ca Usa (return),-9.99
3/17/25,Daily Cash Adjustment,0.3
3/21/25,Apple Services,14.19
3/21/25,Our Lady Of Guadalupe,5
3/28/25,Apple Services,14.99
3/28/25,Apple Services,19.98
3/28/25,Apple Services,27.41
3/28/25,Our Lady Of Guadalupe,5
3/28/25,thefarmersdog.com,16.93
3/31/25,Monthly Installments (7 Of 24),9.12
3/31/25,Monthly Installments (7 Of 24),24.12
4/1/25,Ach Deposit Internet Transfer From Account Ending In 7661,-58.24
4/1/25,Interest Charge,5.95
4/2/25,Apple Services,11.3
4/4/25,Our Lady Of Guadalupe,5
4/6/25,Apple Services,43.98
4/8/25,Apple Services,18.99
4/8/25,Spotify,22.62
4/9/25,Disney,22.82
4/10/25,thefarmersdog.com,48.36
4/11/25,Our Lady Of Guadalupe,5
4/14/25,Peacock,9.04
4/15/25,Apple Services,129.99
4/18/25,Our Lady Of Guadalupe,5
4/21/25,Apple Services,14.19
4/24/25,thefarmersdog.com,135.36
4/25/25,Our Lady Of Guadalupe,5
4/28/25,Apple Services,14.99
4/28/25,Apple Services,19.98
4/28/25,Apple Services,29.99
4/29/25,Betterme Inc - Mobapps,15.19
4/30/25,Monthly Installments (8 Of 24),9.12
4/30/25,Monthly Installments (8 Of 24),24.12
5/1/25,Ach Deposit Internet Transfer From Account Ending In 7661,-1231.83
5/1/25,Interest Charge,10.76
5/2/25,Apple Services,11.3
5/2/25,Our Lady Of Guadalupe,5
5/6/25,Apple Services,43.98
5/8/25,Spotify,22.62
5/9/25,Apple Services,18.99
5/9/25,Disney,22.82
5/14/25,Peacock,9.04
5/17/25,Our Lady Of Guadalupe,25
5/21/25,Apple Services,14.19
5/21/25,Apple Services,24.98
5/27/25,Betterme Inc - Mobapps,38.95
5/28/25,Apple Services,14.99
5/28/25,Apple Services,29.99
5/31/25,Monthly Installments (9 Of 24),9.12
5/31/25,Monthly Installments (9 Of 24),24.12
6/2/25,Apple Services,11.3
6/3/25,Apple Services,23.98
6/6/25,Apple Services,43.98
6/8/25,Spotify,22.62
6/9/25,Disney,22.82
6/14/25,Peacock,9.04
6/19/25,thefarmersdog.com,147.07
6/20/25,Apple Services,24.98
6/21/25,Apple Services,14.19
6/28/25,Apple Services,14.99
6/28/25,Apple Services,29.99
6/30/25,Ach Deposit Internet Transfer From Account Ending In 7661,-315.09
6/30/25,Monthly Installments (10 Of 24),9.12
6/30/25,Monthly Installments (10 Of 24),24.12
7/2/25,Apple Services,11.3
7/4/25,Apple Services,23.98
7/6/25,Apple Services,52.55
7/8/25,Disney,0.23
7/8/25,Spotify,22.62
7/9/25,Disney,30.81
7/21/25,Apple Services,14.19
7/28/25,Apple Services,19.98
7/28/25,Apple Services,29.99
7/29/25,Apple Services,15.98
7/31/25,Ach Deposit Internet Transfer From Account Ending In 7661,-398.2
7/31/25,Monthly Installments (11 Of 24),9.12
7/31/25,Monthly Installments (11 Of 24),24.12
